date,vix
2021-02-22,19.275
2021-02-23,18.859
2021-02-24,17.28
2021-02-25,17.12
2021-02-26,17.028
2021-03-01,16.371
2021-03-02,16.626
2021-03-03,17.685
2021-03-04,20.361
2021-03-05,20.668
2021-03-08,20.975
2021-03-09,20.914
2021-03-10,18.94
2021-03-11,19.423
2021-03-12,19.814
2021-03-15,22.721
2021-03-16,22.156
2021-03-17,22.283
2021-03-18,22.008
2021-03-19,20.465
2021-03-22,21.373
2021-03-23,21.75
2021-03-24,22.276
2021-03-25,20.74
2021-03-26,22.216
2021-03-29,19.991
2021-03-30,20.52
2021-03-31,23.01
2021-04-01,21.536
2021-04-02,20.75
2021-04-05,20.82
2021-04-06,20.263
2021-04-07,18.755
2021-04-08,19.383
2021-04-09,18.504
2021-04-12,19.414
2021-04-13,18.575
2021-04-14,20.591
2021-04-15,19.906
2021-04-16,19.639
2021-04-19,20.347
2021-04-20,18.901
2021-04-21,19.193
2021-04-22,20.563
2021-04-23,18.688
2021-04-26,18.808
2021-04-27,19.045
2021-04-28,19.946
2021-04-29,18.742
2021-04-30,17.65
2021-05-03,18.597
2021-05-04,19.238
2021-05-05,19.923
2021-05-06,20.702
2021-05-07,20.068
2021-05-10,20.493
2021-05-11,20.925
2021-05-12,20.226
2021-05-13,22.62
2021-05-14,22.874
2021-05-17,20.942
2021-05-18,21.467
2021-05-19,20.021
2021-05-20,20.917
2021-05-21,22.009
2021-05-24,20.511
2021-05-25,21.283
2021-05-26,21.459
2021-05-27,22.152
2021-05-28,23.872
2021-05-31,22.987
2021-06-01,21.794
2021-06-02,20.811
2021-06-03,20.181
2021-06-04,20.345
2021-06-07,20.822
2021-06-08,21.181
2021-06-09,22.152
2021-06-10,22.148
2021-06-11,23.488
2021-06-14,22.689
2021-06-15,24.947
2021-06-16,24.828
2021-06-17,23.225
2021-06-18,21.441
2021-06-21,21.507
2021-06-22,20.78
2021-06-23,21.381
2021-06-24,21.753
2021-06-25,21.335
2021-06-28,19.964
2021-06-29,18.011
2021-06-30,17.892
2021-07-01,19.656
2021-07-02,20.237
2021-07-05,18.703
2021-07-06,19.339
2021-07-07,20.281
2021-07-08,19.444
2021-07-09,19.94
2021-07-12,20.076
2021-07-13,18.736
2021-07-14,19.423
2021-07-15,20.19
2021-07-16,21.246
2021-07-19,21.966
2021-07-20,19.954
2021-07-21,18.83
2021-07-22,19.485
2021-07-23,19.978
2021-07-26,20.371
2021-07-27,24.328
2021-07-28,24.387
2021-07-29,25.203
2021-07-30,25.661
2021-08-02,25.678
2021-08-03,24.657
2021-08-04,25.197
2021-08-05,23.887
2021-08-06,23.293
2021-08-09,22.339
2021-08-10,22.173
2021-08-11,24.673
2021-08-12,21.852
2021-08-13,22.385
2021-08-16,20.009
2021-08-17,19.252
2021-08-18,20.539
2021-08-19,20.48
2021-08-20,18.962
2021-08-23,18.056
2021-08-24,18.999
2021-08-25,18.348
2021-08-26,19.017
2021-08-27,19.362
2021-08-30,18.789
2021-08-31,21.907
2021-09-01,22.749
2021-09-02,20.197
2021-09-03,20.7
2021-09-06,19.93
2021-09-07,21.158
2021-09-08,20.207
2021-09-09,20.24
2021-09-10,20.873
2021-09-13,21.698
2021-09-14,19.759
2021-09-15,19.309
2021-09-16,18.781
2021-09-17,18.011
2021-09-20,20.248
2021-09-21,20.472
2021-09-22,19.041
2021-09-23,20.239
2021-09-24,22.364
2021-09-27,23.116
2021-09-28,21.225
2021-09-29,20.85
2021-09-30,22.384
2021-10-01,21.536
2021-10-04,22.007
2021-10-05,22.767
2021-10-06,21.6
2021-10-07,21.569
2021-10-08,17.86
2021-10-11,16.959
2021-10-12,17.034
2021-10-13,16.014
2021-10-14,18.483
2021-10-15,16.93
2021-10-18,16.654
2021-10-19,17.102
2021-10-20,19.121
2021-10-21,17.643
2021-10-22,19.304
2021-10-25,19.402
2021-10-26,18.514
2021-10-27,19.493
2021-10-28,20.149
2021-10-29,19.758
2021-11-01,20.078
2021-11-02,19.876
2021-11-03,20.346
2021-11-04,21.331
2021-11-05,22.998
2021-11-08,21.289
2021-11-09,23.262
2021-11-10,20.767
2021-11-11,20.508
2021-11-12,20.993
2021-11-15,20.934
2021-11-16,19.823
2021-11-17,19.522
2021-11-18,19.012
2021-11-19,18.374
2021-11-22,19.628
2021-11-23,20.154
2021-11-24,19.46
2021-11-25,21.025
2021-11-26,21.544
2021-11-29,22.57
2021-11-30,23.243
2021-12-01,22.039
2021-12-02,21.455
2021-12-03,22.404
2021-12-06,22.873
2021-12-07,22.47
2021-12-08,22.334
2021-12-09,23.531
2021-12-10,22.318
2021-12-13,22.35
2021-12-14,21.583
2021-12-15,20.993
2021-12-16,22.161
2021-12-17,22.766
2021-12-20,23.201
2021-12-21,24.265
2021-12-22,23.793
2021-12-23,24.329
2021-12-24,23.532
2021-12-27,23.57
2021-12-28,23.101
2021-12-29,23.128
2021-12-30,23.804
2021-12-31,22.52
2022-01-03,24.875
2022-01-04,23.026
2022-01-05,21.43
2022-01-06,22.667
2022-01-07,23.152
2022-01-10,23.218
2022-01-11,23.257
2022-01-12,22.683
2022-01-13,21.284
2022-01-14,21.069
2022-01-17,19.975
2022-01-18,20.954
2022-01-19,20.734
2022-01-20,19.907
2022-01-21,19.746
2022-01-24,20.361
2022-01-25,19.888
2022-01-26,19.357
2022-01-27,20.144
2022-01-28,20.718
2022-01-31,20.252
2022-02-01,19.836
2022-02-02,20.383
2022-02-03,18.912
2022-02-04,17.546
2022-02-07,17.029
2022-02-08,17.126
2022-02-09,17.846
2022-02-10,19.692
2022-02-11,20.532
2022-02-14,20.072
2022-02-15,19.897
2022-02-16,18.862
2022-02-17,19.151
2022-02-18,19.047
2022-02-21,19.649
2022-02-22,18.942
2022-02-23,20.008
2022-02-24,22.152
2022-02-25,22.046
2022-02-28,22.426
2022-03-01,23.082
2022-03-02,22.471
2022-03-03,22.663
2022-03-04,22.428
2022-03-07,22.149
2022-03-08,20.884
2022-03-09,20.784
2022-03-10,21.247
2022-03-11,22.532
2022-03-14,22.977
2022-03-15,24.655
2022-03-16,23.122
2022-03-17,23.64
2022-03-18,23.34
2022-03-21,25.136
2022-03-22,23.599
2022-03-23,22.426
2022-03-24,21.79
2022-03-25,19.529
2022-03-28,19.279
2022-03-29,18.868
2022-03-30,19.549
2022-03-31,20.328
2022-04-01,22.317
2022-04-04,22.961
2022-04-05,21.955
2022-04-06,20.765
2022-04-07,21.251
2022-04-08,19.556
2022-04-11,21.418
2022-04-12,22.271
2022-04-13,21.403
2022-04-14,19.473
2022-04-15,20.95
2022-04-18,20.639
2022-04-19,21.886
2022-04-20,20.161
2022-04-21,19.856
2022-04-22,20.186
2022-04-25,20.436
2022-04-26,20.158
2022-04-27,21.163
2022-04-28,20.347
2022-04-29,20.419
2022-05-02,20.609
2022-05-03,21.176
2022-05-04,21.937
2022-05-05,20.506
2022-05-06,18.69
2022-05-09,20.129
2022-05-10,20.308
2022-05-11,19.377
2022-05-12,21.201
2022-05-13,21.097
2022-05-16,22.069
2022-05-17,21.813
2022-05-18,23.874
2022-05-19,25.434
2022-05-20,24.646
2022-05-23,25.046
2022-05-24,25.18
2022-05-25,26.144
2022-05-26,24.71
2022-05-27,25.014
2022-05-30,25.494
2022-05-31,23.078
2022-06-01,21.563
2022-06-02,19.293
2022-06-03,19.138
2022-06-06,19.945
2022-06-07,21.54
2022-06-08,21.351
2022-06-09,22.986
2022-06-10,20.925
2022-06-13,18.704
2022-06-14,18.767
2022-06-15,19.483
2022-06-16,19.754
2022-06-17,17.699
2022-06-20,18.103
2022-06-21,17.168
2022-06-22,18.788
2022-06-23,19.86
2022-06-24,19.14
2022-06-27,18.869
2022-06-28,18.006
2022-06-29,18.509
2022-06-30,20.152
2022-07-01,19.033
2022-07-04,19.74
2022-07-05,19.028
2022-07-06,18.158
2022-07-07,18.313
2022-07-08,17.176
2022-07-11,16.697
2022-07-12,15.513
2022-07-13,18.59
2022-07-14,19.014
2022-07-15,18.44
2022-07-18,19.024
2022-07-19,19.231
2022-07-20,19.457
2022-07-21,20.697
2022-07-22,21.854
2022-07-25,21.223
2022-07-26,20.637
2022-07-27,20.567
2022-07-28,18.198
2022-07-29,16.924
2022-08-01,18.887
2022-08-02,20.834
2022-08-03,20.465
2022-08-04,21.02
2022-08-05,21.121
2022-08-08,24.045
2022-08-09,24.473
2022-08-10,23.679
2022-08-11,22.325
2022-08-12,20.517
2022-08-15,20.679
2022-08-16,19.921
2022-08-17,18.722
2022-08-18,18.633
2022-08-19,18.032
2022-08-22,20.454
2022-08-23,21.648
2022-08-24,21.781
2022-08-25,23.51
2022-08-26,23.315
2022-08-29,21.978
2022-08-30,23.344
2022-08-31,23.536
2022-09-01,21.952
2022-09-02,21.409
2022-09-05,20.022
2022-09-06,18.272
2022-09-07,19.572
2022-09-08,21.885
2022-09-09,20.022
2022-09-12,20.657
2022-09-13,19.861
2022-09-14,19.57
2022-09-15,19.306
2022-09-16,18.678
2022-09-19,19.195
2022-09-20,18.597
2022-09-21,19.539
2022-09-22,19.992
2022-09-23,20.015
2022-09-26,19.081
2022-09-27,18.661
2022-09-28,19.881
2022-09-29,20.615
2022-09-30,19.441
2022-10-03,19.49
2022-10-04,20.22
2022-10-05,18.388
2022-10-06,19.258
2022-10-07,18.651
2022-10-10,19.368
2022-10-11,18.689
2022-10-12,17.202
2022-10-13,16.4
2022-10-14,17.276
2022-10-17,18.165
2022-10-18,17.882
2022-10-19,19.229
2022-10-20,18.187
2022-10-21,18.753
2022-10-24,17.98
2022-10-25,17.833
2022-10-26,18.444
2022-10-27,18.017
2022-10-28,18.006
2022-10-31,19.196
2022-11-01,18.641
2022-11-02,19.652
2022-11-03,18.576
2022-11-04,19.28
2022-11-07,20.764
2022-11-08,18.039
2022-11-09,17.649
2022-11-10,18.893
2022-11-11,19.067
2022-11-14,19.817
2022-11-15,19.41
2022-11-16,20.019
2022-11-17,20.327
2022-11-18,21.97
2022-11-21,22.217
2022-11-22,22.503
2022-11-23,21.99
2022-11-24,21.466
2022-11-25,20.933
2022-11-28,21.202
2022-11-29,20.478
2022-11-30,20.771
2022-12-01,23.108
2022-12-02,23.582
2022-12-05,22.523
2022-12-06,23.445
2022-12-07,22.54
2022-12-08,20.051
2022-12-09,19.075
2022-12-12,17.208
2022-12-13,17.435
2022-12-14,18.234
2022-12-15,20.989
2022-12-16,21.63
2022-12-19,21.413
2022-12-20,22.455
2022-12-21,19.947
2022-12-22,20.595
2022-12-23,21.615
2022-12-26,19.706
2022-12-27,21.064
2022-12-28,21.352
2022-12-29,20.751
2022-12-30,21.319
2023-01-02,23.544
2023-01-03,23.1
2023-01-04,22.942
2023-01-05,22.162
2023-01-06,21.054
2023-01-09,21.795
2023-01-10,20.854
2023-01-11,21.143
2023-01-12,21.014
2023-01-13,21.689
2023-01-16,22.038
2023-01-17,22.998
2023-01-18,22.496
2023-01-19,22.305
2023-01-20,21.323
2023-01-23,20.824
2023-01-24,21.118
2023-01-25,21.777
2023-01-26,20.707
2023-01-27,21.488
2023-01-30,22.566
2023-01-31,22.501
2023-02-01,24.245
2023-02-02,22.788
2023-02-03,20.982
2023-02-06,18.782
2023-02-07,20.901
2023-02-08,21.861
2023-02-09,21.918
2023-02-10,22.333
2023-02-13,20.912
2023-02-14,24.068
2023-02-15,24.068
2023-02-16,24.068
2023-02-17,24.698
2023-02-20,24.76
2023-02-21,24.476
2023-02-22,23.011
2023-02-23,23.324
2023-02-24,25.145
2023-02-27,25.928
2023-02-28,26.978
2023-03-01,25.275
2023-03-02,23.268
2023-03-03,22.63
2023-03-06,22.266
2023-03-07,23.499
2023-03-08,20.88
2023-03-09,23.194
2023-03-10,22.82
2023-03-13,22.077
2023-03-14,20.758
2023-03-15,18.956
2023-03-16,20.592
2023-03-17,20.978
2023-03-20,19.559
2023-03-21,18.389
2023-03-22,18.536
2023-03-23,20.817
2023-03-24,20.513
2023-03-27,18.738
2023-03-28,18.615
2023-03-29,18.577
2023-03-30,16.146
2023-03-31,16.656
2023-04-03,16.838
2023-04-04,18.011
2023-04-05,20.446
2023-04-06,21.961
2023-04-07,21.58
2023-04-10,20.104
2023-04-11,23.763
2023-04-12,23.727
2023-04-13,23.702
2023-04-14,23.534
2023-04-17,23.55
2023-04-18,23.102
2023-04-19,22.265
2023-04-20,21.579
2023-04-21,21.471
2023-04-24,20.596
2023-04-25,19.624
2023-04-26,19.854
2023-04-27,19.632
2023-04-28,21.333
2023-05-01,18.127
2023-05-02,19.545
2023-05-03,21.096
2023-05-04,18.847
2023-05-05,18.839
2023-05-08,18.755
2023-05-09,17.599
2023-05-10,17.488
2023-05-11,17.061
2023-05-12,20.007
2023-05-15,21.447
2023-05-16,23.067
2023-05-17,23.868
2023-05-18,22.526
2023-05-19,21.852
2023-05-22,22.148
2023-05-23,20.586
2023-05-24,21.337
2023-05-25,20.994
2023-05-26,20.445
2023-05-29,20.981
2023-05-30,21.204
2023-05-31,20.742
2023-06-01,21.842
2023-06-02,20.72
2023-06-05,21.283
2023-06-06,21.849
2023-06-07,21.65
2023-06-08,22.197
2023-06-09,21.054
2023-06-12,22.127
2023-06-13,21.962
2023-06-14,21.569
2023-06-15,22.871
2023-06-16,22.053
2023-06-19,20.493
2023-06-20,18.938
2023-06-21,19.866
2023-06-22,18.751
2023-06-23,20.719
2023-06-26,18.405
2023-06-27,20.324
2023-06-28,20.542
2023-06-29,20.491
2023-06-30,19.911
2023-07-03,20.413
2023-07-04,20.445
2023-07-05,21.895
2023-07-06,22.17
2023-07-07,22.408
2023-07-10,21.953
2023-07-11,21.952
2023-07-12,22.51
2023-07-13,20.447
2023-07-14,18.986
2023-07-17,20.315
2023-07-18,20.66
2023-07-19,20.549
2023-07-20,20.704
2023-07-21,21.105
2023-07-24,20.177
2023-07-25,19.098
2023-07-26,19.534
2023-07-27,18.395
2023-07-28,19.226
2023-07-31,17.116
2023-08-01,18.851
2023-08-02,19.86
2023-08-03,20.563
2023-08-04,21.97
2023-08-07,23.901
2023-08-08,24.854
2023-08-09,22.443
2023-08-10,21.127
2023-08-11,20.654
2023-08-14,20.857
2023-08-15,21.558
2023-08-16,20.918
2023-08-17,21.246
2023-08-18,20.449
2023-08-21,19.751
2023-08-22,18.409
2023-08-23,17.82
2023-08-24,16.958
2023-08-25,16.476
2023-08-28,17.984
2023-08-29,17.384
2023-08-30,20.494
2023-08-31,21.211
2023-09-01,21.502
2023-09-04,20.702
2023-09-05,21.594
2023-09-06,21.293
2023-09-07,21.774
2023-09-08,24.655
2023-09-11,24.169
2023-09-12,25.101
2023-09-13,23.939
2023-09-14,23.666
2023-09-15,25.253
2023-09-18,23.806
2023-09-19,25.241
2023-09-20,25.313
2023-09-21,23.999
2023-09-22,24.12
2023-09-25,24.514
2023-09-26,24.517
2023-09-27,22.225
2023-09-28,21.457
2023-09-29,21.217
2023-10-02,21.145
2023-10-03,21.945
2023-10-04,22.304
2023-10-05,21.069
2023-10-06,21.774
2023-10-09,22.503
2023-10-10,23.105
2023-10-11,24.288
2023-10-12,25.004
2023-10-13,25.026
2023-10-16,24.291
2023-10-17,21.815
2023-10-18,22.159
2023-10-19,22.207
2023-10-20,22.201
2023-10-23,20.409
2023-10-24,19.121
2023-10-25,20.473
2023-10-26,20.564
2023-10-27,21.394
2023-10-30,21.35
2023-10-31,21.406
2023-11-01,22.679
2023-11-02,22.189
2023-11-03,22.423
2023-11-06,21.894
2023-11-07,21.503
2023-11-08,21.408
2023-11-09,21.932
2023-11-10,21.458
2023-11-13,22.75
2023-11-14,21.514
2023-11-15,21.276
2023-11-16,20.805
2023-11-17,22.26
2023-11-20,22.063
2023-11-21,22.847
2023-11-22,20.741
2023-11-23,21.108
2023-11-24,22.109
2023-11-27,21.962
2023-11-28,23.078
2023-11-29,22.364
2023-11-30,24.156
2023-12-01,26.755
2023-12-04,25.652
2023-12-05,24.656
2023-12-06,26.222
2023-12-07,27.73
2023-12-08,26.351
2023-12-11,25.208
2023-12-12,24.339
2023-12-13,22.694
2023-12-14,21.688
2023-12-15,20.557
2023-12-18,19.639
2023-12-19,19.606
2023-12-20,19.985
2023-12-21,21.73
2023-12-22,20.533
2023-12-25,21.462
2023-12-26,21.134
2023-12-27,21.206
2023-12-28,22.178
2023-12-29,20.997
2024-01-01,21.586
2024-01-02,21.918
2024-01-03,22.705
2024-01-04,23.208
2024-01-05,25.96
2024-01-08,24.655
2024-01-09,23.642
2024-01-10,22.736
2024-01-11,22.024
2024-01-12,21.175
2024-01-15,22.354
2024-01-16,23.618
2024-01-17,22.519
2024-01-18,21.367
2024-01-19,21.718
2024-01-22,20.825
2024-01-23,21.438
2024-01-24,21.682
2024-01-25,20.146
2024-01-26,22.164
2024-01-29,24.106
2024-01-30,23.181
2024-01-31,22.792
2024-02-01,23.26
2024-02-02,23.614
2024-02-05,24.116
2024-02-06,25.973
2024-02-07,25.279
2024-02-08,23.936
2024-02-09,21.957
2024-02-12,20.83
2024-02-13,20.695
2024-02-14,22.781
2024-02-15,21.904
2024-02-16,21.907
2024-02-19,21.549
2024-02-20,22.79
2024-02-21,25.72
2024-02-22,24.468
2024-02-23,23.433
2024-02-26,24.488
2024-02-27,25.0
2024-02-28,27.041
2024-02-29,27.264
2024-03-01,26.205
2024-03-04,26.387
2024-03-05,27.19
2024-03-06,27.598
2024-03-07,27.551
2024-03-08,28.056
2024-03-11,28.402
2024-03-12,28.822
2024-03-13,28.414
2024-03-14,27.128
2024-03-15,26.275
2024-03-18,26.679
2024-03-19,24.695
2024-03-20,24.543
2024-03-21,23.639
2024-03-22,23.329
2024-03-25,24.34
2024-03-26,24.146
2024-03-27,24.014
2024-03-28,22.477
2024-03-29,23.405
2024-04-01,23.987
2024-04-02,26.168
2024-04-03,25.436
2024-04-04,25.364
2024-04-05,25.184
2024-04-08,26.3
2024-04-09,25.414
2024-04-10,25.114
2024-04-11,25.179
2024-04-12,24.674
2024-04-15,23.463
2024-04-16,23.115
2024-04-17,23.864
2024-04-18,22.385
2024-04-19,22.318
2024-04-22,21.278
2024-04-23,22.652
2024-04-24,20.877
2024-04-25,20.593
2024-04-26,21.422
2024-04-29,23.419
2024-04-30,23.249
2024-05-01,22.634
2024-05-02,25.052
2024-05-03,22.994
2024-05-06,20.181
2024-05-07,20.915
2024-05-08,20.479
2024-05-09,19.524
2024-05-10,20.577
2024-05-13,20.759
2024-05-14,19.941
2024-05-15,18.504
2024-05-16,19.949
2024-05-17,20.826
2024-05-20,20.636
2024-05-21,22.794
2024-05-22,21.48
2024-05-23,19.904
2024-05-24,19.498
2024-05-27,19.872
2024-05-28,20.599
2024-05-29,20.765
2024-05-30,21.678
2024-05-31,20.455
2024-06-03,22.491
2024-06-04,22.322
2024-06-05,23.652
2024-06-06,23.852
2024-06-07,24.002
2024-06-10,24.112
2024-06-11,24.04
2024-06-12,24.326
2024-06-13,25.455
2024-06-14,24.95
2024-06-17,25.063
2024-06-18,24.278
2024-06-19,25.593
2024-06-20,24.349
2024-06-21,26.15
2024-06-24,25.495
2024-06-25,23.54
2024-06-26,23.687
2024-06-27,23.004
2024-06-28,23.948
2024-07-01,23.045
2024-07-02,22.484
2024-07-03,20.57
2024-07-04,20.451
2024-07-05,18.115
2024-07-08,16.819
2024-07-09,18.154
2024-07-10,19.399
2024-07-11,20.114
2024-07-12,19.127
2024-07-15,19.184
2024-07-16,19.339
2024-07-17,18.321
2024-07-18,20.626
2024-07-19,21.81
2024-07-22,21.542
2024-07-23,21.683
2024-07-24,22.169
2024-07-25,20.261
2024-07-26,20.477
2024-07-29,20.103
2024-07-30,19.395
2024-07-31,19.665
2024-08-01,22.248
2024-08-02,22.973
2024-08-05,22.041
2024-08-06,22.517
2024-08-07,24.081
2024-08-08,24.819
2024-08-09,24.251
2024-08-12,22.786
2024-08-13,23.217
2024-08-14,23.378
2024-08-15,24.246
2024-08-16,24.625
2024-08-19,25.415
2024-08-20,24.271
2024-08-21,25.619
2024-08-22,25.563
2024-08-23,27.546
2024-08-26,26.05
2024-08-27,27.58
2024-08-28,27.178
2024-08-29,26.004
2024-08-30,25.027
2024-09-02,24.175
2024-09-03,24.172
2024-09-04,24.325
2024-09-05,23.34
2024-09-06,22.925
2024-09-09,24.654
2024-09-10,25.73
2024-09-11,25.458
2024-09-12,24.9
2024-09-13,24.472
2024-09-16,24.586
2024-09-17,23.058
2024-09-18,22.746
2024-09-19,21.127
2024-09-20,21.856
2024-09-23,22.618
2024-09-24,22.2
2024-09-25,23.993
2024-09-26,22.818
2024-09-27,21.464
2024-09-30,21.758
2024-10-01,22.855
2024-10-02,24.56
2024-10-03,23.684
2024-10-04,24.421
2024-10-07,23.726
2024-10-08,22.998
2024-10-09,23.614
2024-10-10,23.96
2024-10-11,21.811
2024-10-14,23.259
2024-10-15,24.495
2024-10-16,23.473
2024-10-17,23.868
2024-10-18,24.28
2024-10-21,24.326
2024-10-22,23.522
2024-10-23,22.847
2024-10-24,23.018
2024-10-25,24.408
2024-10-28,24.736
2024-10-29,23.928
2024-10-30,24.642
2024-10-31,20.98
2024-11-01,22.419
2024-11-04,20.055
2024-11-05,19.658
2024-11-06,18.529
2024-11-07,17.409
2024-11-08,19.275
2024-11-11,18.879
2024-11-12,19.566
2024-11-13,19.869
2024-11-14,20.86
2024-11-15,21.206
2024-11-18,19.894
2024-11-19,21.461
2024-11-20,21.267
2024-11-21,19.977
2024-11-22,20.063
2024-11-25,22.025
2024-11-26,22.967
2024-11-27,22.629
2024-11-28,22.329
2024-11-29,21.939
2024-12-02,23.924
2024-12-03,23.818
2024-12-04,23.857
2024-12-05,24.541
2024-12-06,24.208
2024-12-09,23.314
2024-12-10,22.68
2024-12-11,22.442
2024-12-12,22.387
2024-12-13,23.111
2024-12-16,22.983
2024-12-17,23.676
2024-12-18,23.583
2024-12-19,23.756
2024-12-20,21.638
2024-12-23,22.755
2024-12-24,23.151
2024-12-25,24.285
2024-12-26,20.977
2024-12-27,23.471
2024-12-30,22.984
2024-12-31,23.932
2025-01-01,22.412
2025-01-02,22.966
2025-01-03,21.44
2025-01-06,20.505
2025-01-07,22.699
2025-01-08,22.27
2025-01-09,22.476
2025-01-10,23.361
2025-01-13,23.643
2025-01-14,23.585
2025-01-15,23.96
2025-01-16,26.618
2025-01-17,26.104
2025-01-20,25.858
2025-01-21,26.624
2025-01-22,27.428
2025-01-23,28.165
2025-01-24,28.036
2025-01-27,25.911
2025-01-28,26.916
2025-01-29,24.98
2025-01-30,24.825
2025-01-31,23.448
2025-02-03,22.872
2025-02-04,22.802
2025-02-05,22.866
2025-02-06,23.088
2025-02-07,24.393
2025-02-10,24.338
2025-02-11,23.705
2025-02-12,24.602
2025-02-13,25.749
2025-02-14,24.032
2025-02-17,24.525
2025-02-18,25.1
2025-02-19,24.609
2025-02-20,26.024
2025-02-21,25.451
2025-02-24,25.101
2025-02-25,24.438
2025-02-26,24.137
2025-02-27,22.622
2025-02-28,20.831
2025-03-03,22.508
2025-03-04,21.262
2025-03-05,20.185
2025-03-06,18.217
2025-03-07,18.027
2025-03-10,17.15
2025-03-11,19.37
2025-03-12,20.829
2025-03-13,20.529
2025-03-14,23.149
2025-03-17,24.084
2025-03-18,23.613
2025-03-19,21.174
2025-03-20,23.945
2025-03-21,22.505
2025-03-24,20.91
2025-03-25,22.139
2025-03-26,24.573
2025-03-27,25.735
2025-03-28,25.729
2025-03-31,25.627
2025-04-01,25.816
2025-04-02,25.971
2025-04-03,25.608
2025-04-04,25.026
2025-04-07,24.265
2025-04-08,22.892
2025-04-09,22.456
2025-04-10,20.524
2025-04-11,20.74
2025-04-14,19.767
2025-04-15,18.862
2025-04-16,19.859
2025-04-17,22.187
2025-04-18,23.498
2025-04-21,21.659
2025-04-22,20.648
2025-04-23,22.162
2025-04-24,21.138
2025-04-25,21.025
2025-04-28,21.662
2025-04-29,20.379
2025-04-30,20.648
2025-05-01,19.254
2025-05-02,18.865
2025-05-05,19.412
2025-05-06,17.908
2025-05-07,18.954
2025-05-08,19.47
2025-05-09,20.498
2025-05-12,20.98
2025-05-13,22.631
2025-05-14,22.94
2025-05-15,22.645
2025-05-16,22.976
2025-05-19,23.659
2025-05-20,23.641
2025-05-21,23.696
2025-05-22,22.837
2025-05-23,22.0
2025-05-26,20.223
2025-05-27,22.483
2025-05-28,20.859
2025-05-29,20.161
2025-05-30,19.367
2025-06-02,20.621
2025-06-03,20.226
2025-06-04,21.974
2025-06-05,21.162
2025-06-06,21.624
2025-06-09,20.634
2025-06-10,23.409
2025-06-11,22.03
2025-06-12,22.72
2025-06-13,23.629
2025-06-16,24.073
2025-06-17,23.73
2025-06-18,23.607
2025-06-19,23.73
2025-06-20,23.459
2025-06-23,24.387
2025-06-24,26.597
2025-06-25,25.252
2025-06-26,23.32
2025-06-27,22.898
2025-06-30,25.354
2025-07-01,23.733
2025-07-02,25.177
2025-07-03,26.575
2025-07-04,25.21
2025-07-07,25.193
2025-07-08,26.543
2025-07-09,25.608
2025-07-10,25.12
2025-07-11,24.23
2025-07-14,22.895
2025-07-15,22.178
2025-07-16,20.933
2025-07-17,21.493
2025-07-18,20.76
2025-07-21,21.316
2025-07-22,19.369
2025-07-23,20.281
2025-07-24,21.771
2025-07-25,18.933
2025-07-28,19.686
2025-07-29,21.439
2025-07-30,19.794
2025-07-31,22.282
2025-08-01,22.691
2025-08-04,21.505
2025-08-05,21.436
2025-08-06,22.307
2025-08-07,22.581
2025-08-08,23.285
2025-08-11,22.211
2025-08-12,22.569
2025-08-13,21.278
2025-08-14,21.662
2025-08-15,21.084
2025-08-18,20.617
2025-08-19,22.318
2025-08-20,23.662
