customer_id,edad,ingresos_mensuales,region,frecuencia_visitas,compró
96,42,874.03,Oeste,11,0
97,62,1425.24,Sur,3,0
98,58,1829.24,Oeste,6,1
99,46,2248.73,Este,9,1
100,32,3180.28,Norte,6,0
101,62,2686.13,Este,9,0
102,18,1872.05,Sur,7,0
103,42,1984.79,Norte,9,0
104,24,1197.98,Sur,18,1
105,26,1985.19,Sur,12,0
106,41,1769.07,Este,8,0
107,18,2258.17,Sur,8,1
108,61,1338.22,Este,18,1
109,25,2415.48,Norte,15,1
110,41,3226.19,Este,7,0
111,28,1912.99,,11,0
112,68,2321.37,Este,16,0
113,34,2552.12,Oeste,4,0
114,25,1679.02,Oeste,6,1
115,52,2179.27,Sur,3,1
116,52,2010.07,Este,9,1
117,50,2078.14,Este,10,1
118,22,1381.59,Norte,14,0
119,59,2019.61,Sur,11,1
120,56,2398.4,Este,18,0
121,58,3160.91,Sur,12,0
122,45,2767.42,Oeste,12,0
123,24,3722.55,Este,13,0
124,26,1386.12,Este,13,0
125,25,2697.86,Sur,19,1
126,29,2146.67,Este,19,0
127,51,3751.84,Sur,14,0
128,50,1353.36,Este,4,0
129,65,1328.22,Norte,13,1
130,40,1520.49,,8,0
131,41,300.88,Este,19,1
132,54,1579.4,Oeste,12,0
133,52,1392.69,Este,18,1
134,61,2120.32,Oeste,6,0
135,57,2273.4,Oeste,18,1
136,39,3500.94,Norte,19,1
137,44,2760.34,Sur,5,0
138,52,1538.48,Este,9,0
139,18,1281.27,Norte,3,0
140,52,2393.54,,10,0
141,54,943.81,Oeste,19,0
142,64,3465.17,Sur,3,1
143,31,2943.55,Este,15,0
144,20,1624.66,Este,1,0
145,18,629.49,Oeste,7,0
146,22,3083.1,Este,12,0
147,43,1908.37,Este,17,1
148,31,2990.25,Oeste,5,0
149,56,724.46,Norte,4,1
150,44,1520.5,Oeste,12,1
151,26,2004.19,,18,1
152,32,2037.58,Sur,17,1
153,32,1639.95,Norte,19,0
154,43,2498.28,Norte,9,1
155,59,1145.9,Sur,4,0
156,30,1886.1,Norte,2,0
157,68,2096.24,Oeste,4,1
158,49,2411.55,Norte,2,1
159,56,2569.29,Sur,15,1
160,66,,Oeste,2,0
161,69,772.71,Sur,4,0
162,49,3022.14,Sur,6,1
163,21,2265.85,Este,7,0
164,47,1401.21,Este,10,1
165,54,3240.92,Sur,19,1
166,40,2092.54,Sur,19,0
167,56,2943.44,Sur,12,0
168,62,2054.01,Este,3,0
169,32,3648.6,Este,13,0
170,60,,Norte,18,1
171,46,1800.83,Norte,8,0
172,53,2777.26,Sur,15,1
173,30,2516.3,Oeste,1,0
174,49,3094.91,Oeste,3,1
175,24,1228.06,Este,8,0
176,68,2548.84,Este,4,0
177,39,2846.74,Este,16,0
178,45,593.01,Sur,10,1
179,19,1053.39,Oeste,12,1
180,59,368.61,Norte,14,1
181,62,1784.47,,14,0
182,23,2574.03,Norte,2,0
183,45,3201.89,Norte,5,0
184,45,2059.28,Sur,5,0
185,61,3302.89,Norte,6,0
186,61,895.92,,13,1
187,37,637.29,Norte,9,1
188,47,1955.56,Oeste,15,1
189,28,2307.25,Oeste,14,1
190,45,1973.84,Oeste,7,0
191,42,346.05,Este,2,0
192,56,1928.7,Norte,7,0
193,50,956.42,Sur,6,1
194,18,2535.74,Sur,17,0
195,44,2293.28,Norte,2,0
196,69,1248.1,Este,3,0
197,30,1588.91,Este,5,0
198,58,1152.63,Oeste,5,1
199,20,1949.86,Norte,1,1
200,56,2764.11,Norte,8,0
201,23,1211.42,Sur,12,1
202,25,2403.24,Norte,4,1
203,44,1575.79,Este,13,0
204,26,1365.7,Norte,15,0
205,54,1914.38,Sur,11,0
206,50,1171.81,Oeste,10,0
207,68,1557.08,Sur,3,1
208,59,1041.7,Sur,14,0
209,61,3571.78,Oeste,16,1
210,41,2028.21,Sur,10,0
211,32,1440.22,Sur,10,0
212,49,2171.18,Norte,12,0
213,49,1910.14,Norte,9,0
214,41,1823.22,Oeste,1,0
215,58,2491.33,Norte,5,1
216,69,2606.01,Norte,8,0
217,66,1575.6,Sur,11,1
218,66,1539.35,Este,12,0
219,69,1779.96,Norte,1,0
220,29,158.46,Este,11,0
221,56,787.85,Norte,5,0
222,19,3093.5,Norte,15,0
223,20,3315.97,Oeste,5,0
224,66,1800.77,Oeste,12,0
225,54,2461.25,Oeste,5,0
226,66,2249.0,Este,17,0
227,34,4463.1,Sur,17,0
228,66,2895.66,Norte,12,1
229,19,1897.67,Norte,15,1
230,19,1235.57,Norte,15,0
231,45,714.84,Este,6,0
232,40,2162.77,Oeste,12,1
233,54,1394.92,Sur,18,1
234,49,862.2,Este,14,0
235,50,,Oeste,2,1
236,18,1134.76,Este,9,0
237,36,3349.71,Sur,5,0
238,19,2705.31,Oeste,1,1
239,61,1993.62,Este,3,0
240,43,3183.96,Sur,6,1
241,49,2061.89,Norte,5,1
242,23,1310.97,Sur,5,0
243,49,,Norte,1,0
244,21,2431.13,,17,0
245,28,1170.2,Oeste,19,0
246,34,1847.73,Oeste,14,1
247,55,1299.51,Este,12,0
248,41,893.76,Oeste,10,0
249,22,2740.94,Oeste,18,1
250,69,3527.53,Norte,11,0
251,51,881.15,Este,2,1
252,23,2450.38,Sur,18,0
253,39,1479.49,Norte,7,1
254,28,1610.3,Este,15,0
255,65,1526.08,Norte,11,0
256,33,1308.81,Sur,18,0
257,50,2038.82,Sur,12,0
258,26,1335.24,Este,6,1
259,23,2216.37,Sur,13,1
260,33,1959.81,Norte,16,1
261,46,1808.84,Sur,18,0
262,20,1273.95,Norte,10,0
263,37,1538.58,Norte,8,0
264,53,2604.31,Sur,18,0
265,36,2400.73,Este,1,1
266,43,1217.96,Oeste,8,0
267,20,2079.47,Sur,6,0
268,36,2601.11,Norte,5,0
269,37,664.48,Norte,15,1
270,49,2434.69,Sur,15,1
271,24,1469.9,Este,2,1
272,69,2456.48,Este,1,0
273,58,1389.39,Norte,11,0
274,50,556.09,Norte,10,1
275,57,697.97,Este,18,1
276,56,2038.47,Oeste,18,0
277,35,2207.78,Sur,17,1
278,57,1276.55,Norte,8,1
279,18,2510.87,Norte,15,1
280,28,670.78,Este,8,1
281,45,1947.14,Sur,17,0
282,42,1031.19,Este,12,0
283,67,1478.53,Sur,8,0
284,40,2037.92,Sur,14,1
285,48,1311.67,Sur,4,1
286,47,1692.36,Norte,1,1
287,59,,Oeste,1,0
288,52,1538.49,Este,19,1
289,24,2668.55,Oeste,16,1
290,33,1096.23,Este,14,1
291,43,2423.84,Sur,16,1
292,65,3153.25,Norte,5,1
293,69,22.68,Oeste,9,0
294,66,1362.48,Norte,2,0
295,19,2461.66,Este,18,0
296,18,1837.56,Norte,6,0
297,65,2296.92,Norte,9,1
298,29,1516.81,Oeste,1,1
299,22,2069.27,Sur,9,0
300,54,1875.46,Norte,16,0
301,49,2934.23,Sur,13,1
302,26,2203.54,Este,9,0
303,58,2270.08,Norte,13,0
304,52,1670.5,Oeste,9,0
305,36,,Este,11,0
306,65,1653.95,Este,4,0
307,33,2315.56,Oeste,2,0
308,20,1663.21,Norte,6,0
309,37,2231.82,Norte,14,1
310,41,3660.32,Este,4,0
311,50,2696.9,Norte,6,1
312,41,1739.18,Sur,19,0
313,69,2960.97,Oeste,6,0
314,28,1673.54,Sur,2,1
315,66,369.5,Norte,18,0
316,25,1193.53,Este,13,0
317,53,503.37,Oeste,9,0
318,55,,Norte,19,1
319,57,2014.73,Norte,13,0
320,37,3341.15,Este,11,0
321,52,2261.54,Este,1,1
322,65,1824.72,,7,0
323,42,,Oeste,15,1
324,52,231.09,Oeste,1,1
325,42,2188.49,Este,12,1
326,46,2616.69,Sur,7,0
327,35,817.13,Oeste,15,1
328,63,2915.0,Este,19,0
329,35,2270.8,Norte,1,0
330,19,1667.77,Oeste,17,0
331,52,2506.23,Sur,17,1
332,33,3816.55,Sur,3,0
333,58,2145.49,Sur,12,0
334,53,2198.58,Norte,6,0
335,50,1632.51,Oeste,11,1
336,21,1320.12,Oeste,3,1
337,50,2664.27,Norte,8,1
338,31,1315.13,Oeste,14,0
339,38,2057.25,Norte,14,0
340,65,1617.87,Norte,10,1
341,37,2383.18,Norte,2,0
342,25,2266.93,Sur,14,0
343,24,2830.03,Oeste,9,1
344,20,1591.99,Norte,3,1
345,34,1784.1,Oeste,8,1
346,50,1216.99,Sur,16,1
347,65,1644.57,Norte,2,1
348,29,2301.84,,6,0
349,68,2605.59,Sur,12,0
350,39,1262.27,Este,5,1
351,39,2695.68,Oeste,2,0
352,63,3084.51,Oeste,16,1
353,47,2330.75,Sur,5,0
354,55,3501.44,Oeste,15,0
355,55,1380.97,Este,12,1
356,62,1004.28,Norte,4,1
357,68,577.02,Norte,15,1
358,25,3196.84,Norte,11,0
359,44,2523.49,Sur,16,1
360,44,1955.53,Oeste,6,0
361,51,2223.97,Este,14,0
362,38,,Oeste,18,0
363,47,3956.6,,12,0
364,50,2103.38,Oeste,11,0
365,45,,Norte,13,1
366,64,2580.61,Este,11,1
367,50,2384.81,,16,1
368,22,2179.11,Oeste,15,0
369,65,1367.62,Norte,15,1
370,36,2377.17,Norte,4,1
371,21,3505.62,Este,11,1
372,52,3076.34,Norte,19,0
373,66,3274.55,Norte,15,0
374,34,1591.03,Norte,4,0
375,61,1208.32,Sur,13,0
376,45,1899.37,Oeste,19,0
377,47,2044.58,Este,2,1
378,46,2875.35,Este,14,0
379,63,646.03,Sur,4,0
380,23,3223.64,Oeste,16,0
381,52,1873.59,Este,14,0
382,58,1658.5,Norte,15,0
383,54,1190.32,Este,3,0
384,41,676.11,Norte,8,0
385,46,2658.54,Sur,16,1
386,66,2058.65,Norte,10,1
387,63,968.03,Este,4,0
388,48,963.94,Este,18,0
389,52,1731.37,Este,2,1
390,50,3335.22,Sur,17,0
391,69,1792.33,Sur,13,0
392,38,797.49,Oeste,4,1
393,49,1803.41,Este,11,0
394,40,1781.82,Norte,7,1
395,50,-157.51,Sur,12,0
396,20,1956.56,Este,10,0
397,35,1815.25,Este,7,0
398,42,2556.97,Sur,13,1
399,59,3479.16,Oeste,7,0
400,48,2901.25,Sur,17,0
401,20,1784.89,Sur,10,1
402,57,1114.78,Norte,10,0
403,63,4058.69,Norte,4,0
404,41,2047.37,Oeste,4,1
405,67,2011.14,Este,7,0
406,49,1980.7,Sur,1,1
407,64,2158.47,Oeste,12,1
408,39,1884.51,Norte,13,1
409,40,1541.07,Sur,10,0
410,19,1562.51,Este,15,1
411,44,1973.8,Norte,13,0
412,59,1565.26,Norte,9,1
413,19,1429.72,Norte,9,0
414,43,2085.14,Oeste,15,0
415,34,1796.02,Este,10,0
416,57,3203.19,Sur,10,1
417,50,-120.78,Oeste,8,1
418,26,2873.21,Oeste,16,0
419,60,2996.87,Oeste,17,0
420,65,341.29,Norte,5,1
421,56,1725.85,Este,4,0
422,46,1702.85,Oeste,18,0
423,59,873.99,Sur,19,1
424,43,1377.75,Este,4,0
425,52,1111.54,Sur,7,1
426,67,3401.82,Este,10,0
427,42,2748.54,Sur,18,0
428,41,3017.24,Norte,19,0
429,30,2577.34,Oeste,4,1
430,24,1096.76,Sur,10,0
431,53,1580.38,Este,1,1
432,62,2391.5,Oeste,18,0
433,37,1022.3,Oeste,5,1
434,18,2570.4,Este,15,0
435,25,1807.74,Sur,17,0
436,63,1700.14,Norte,3,1
437,33,2568.77,Norte,12,0
438,31,2355.41,Sur,2,0
439,29,1711.23,Oeste,1,1
440,68,2927.46,Oeste,17,0
441,40,1135.15,Oeste,16,1
442,32,2492.75,Oeste,5,0
443,45,2474.48,Sur,15,1
444,51,1752.36,Oeste,3,0
445,19,2260.91,Este,7,0
446,49,999.11,Oeste,11,1
447,40,2739.22,Norte,10,1
448,39,1852.08,Oeste,9,0
449,68,1581.82,Sur,14,0
450,42,2839.21,Norte,13,1
451,39,1436.53,Sur,2,0
452,39,873.23,Sur,3,1
453,66,754.7,Norte,7,1
454,69,2484.81,,18,0
455,59,975.66,Sur,3,0
456,23,3403.84,Oeste,10,1
457,32,334.46,Este,7,0
458,60,3357.17,Sur,9,0
459,54,2168.81,Sur,17,1
460,50,1922.63,Sur,11,0
461,25,1564.06,Oeste,7,1
462,61,2319.31,Este,14,0
463,61,1969.89,Norte,19,0
464,22,2882.64,Oeste,4,0
465,56,2091.38,Oeste,6,0
466,21,2120.24,Este,10,0
467,23,1709.11,Este,7,0
468,62,1954.44,Oeste,13,1
469,49,2246.24,Norte,14,0
470,69,631.87,,4,0
471,47,921.45,Este,8,0
472,64,2594.61,Norte,5,0
473,52,2136.69,Este,1,0
474,57,1852.81,Norte,4,0
475,69,,Sur,3,0
476,33,2278.07,Este,9,0
477,30,1568.19,Este,8,0
478,67,1377.36,Oeste,1,1
479,59,2156.68,Este,6,0
480,47,1217.3,Este,9,0
481,36,2326.6,Sur,7,1
482,34,637.93,Este,4,0
483,36,2823.32,Sur,13,1
484,45,2378.08,Sur,17,0
485,43,2204.82,Sur,2,0
486,54,2786.15,Sur,5,0
487,43,3332.38,Norte,12,0
488,40,2811.5,Oeste,8,1
489,26,527.3,Norte,6,0
490,29,976.34,Este,8,1
491,18,1500.15,Norte,18,0
492,18,,Norte,3,0
493,64,2414.13,Este,12,0
494,51,1419.4,Este,3,0
495,49,2149.41,Este,6,0
496,65,1395.69,Norte,2,1
497,42,1510.79,Norte,12,1
498,57,874.67,Este,2,0
499,62,1261.41,Oeste,6,1
500,18,918.65,Oeste,17,1
