age,income,web_visits,clicked_ad,device_type,time_on_site,past_purchases,converted
22,66151,4,0,mobile,2.84,1,1
41,42239,3,0,desktop,2.34,3,0
30,63208,7,1,desktop,1.14,3,1
38,44235,1,0,desktop,2.63,1,0
38,67569,9,0,mobile,2.79,1,1
23,66102,6,1,mobile,2.7,1,0
42,61055,3,0,desktop,3.64,3,1
24,51851,1,0,mobile,3.15,1,0
21,47108,2,0,tablet,3.35,2,0
26,51045,5,1,mobile,1.37,2,0
31,66537,6,0,mobile,3.15,1,0
36,44765,2,1,mobile,2.34,3,1
27,55745,3,0,mobile,1.56,2,0
42,28785,2,1,mobile,3.54,0,1
37,58905,3,1,mobile,1.07,1,0
28,39467,5,0,mobile,0.88,1,0
43,35227,2,0,mobile,2.22,2,0
46,62780,2,0,desktop,5.22,0,1
34,58155,2,0,desktop,2.67,0,0
32,48349,1,1,mobile,3.46,0,1
17,50468,5,0,desktop,2.63,0,0
30,89065,1,0,tablet,1.67,0,0
32,52087,2,1,tablet,3.34,0,0
37,51981,4,1,mobile,1.34,1,1
33,64784,1,0,mobile,3.02,1,0
37,56308,3,0,desktop,0.37,1,0
50,69811,7,1,mobile,1.37,2,0
29,59161,5,1,mobile,4.14,0,1
30,66416,4,0,tablet,4.13,0,0
21,61649,3,1,desktop,1.57,2,0
34,64679,4,0,mobile,3.23,2,0
44,54360,1,1,desktop,3.47,3,1
17,58337,1,1,desktop,3.06,0,0
28,50934,2,1,mobile,2.44,4,1
35,64062,4,1,desktop,0.56,0,0
43,34809,5,0,desktop,4.16,0,1
38,65892,4,0,mobile,1.82,1,0
38,69970,4,0,desktop,3.45,1,0
32,66126,3,1,desktop,3.58,1,0
39,53438,5,0,desktop,2.16,0,0
45,62578,1,1,mobile,2.8,1,0
17,43351,1,1,tablet,2.67,2,0
42,67556,5,0,mobile,1.6,1,0
34,38511,2,0,desktop,2.45,0,0
29,63905,2,0,desktop,2.89,0,0
10,62989,1,0,desktop,3.95,0,0
21,61100,5,0,mobile,4.03,1,1
51,48293,3,1,tablet,1.36,0,0
28,66402,4,0,desktop,3.53,1,0
24,27441,4,1,desktop,0.43,5,1
30,66658,2,1,desktop,2.24,0,0
27,57871,3,0,mobile,1.31,3,1
36,70764,4,0,tablet,3.44,0,0
50,58000,2,0,desktop,2.98,2,1
29,82572,0,0,desktop,0.89,0,0
36,40872,3,0,desktop,1.7,2,0
23,64141,1,0,mobile,2.66,0,0
50,41709,2,1,mobile,2.4,1,0
36,53104,2,0,desktop,2.16,3,0
24,66135,3,1,desktop,2.22,2,1
44,64381,1,0,desktop,0.93,1,0
46,86193,3,0,desktop,3.94,1,0
36,49728,2,0,desktop,3.6,1,1
18,74290,3,0,mobile,3.28,2,0
52,51185,3,1,desktop,2.5,0,0
38,44486,3,0,mobile,2.83,0,0
46,30655,4,1,desktop,3.9,2,1
29,57440,4,0,mobile,1.95,1,0
31,47180,0,1,mobile,2.36,1,0
36,67712,3,0,tablet,0.51,1,0
46,47073,5,1,desktop,2.65,0,0
36,47850,4,0,desktop,2.54,2,1
22,60319,3,1,tablet,2.01,1,0
37,80818,4,0,mobile,3.06,1,0
51,38670,3,1,desktop,2.83,1,0
35,70264,1,0,tablet,3.84,3,0
36,68111,2,1,mobile,1.46,1,0
22,51685,4,1,tablet,1.94,0,0
20,65131,2,0,desktop,3.3,1,0
28,50735,3,1,desktop,2.35,2,1
31,90570,4,1,mobile,2.46,3,0
36,53318,4,0,desktop,4.8,0,0
36,56206,2,0,mobile,1.26,0,0
51,50113,1,1,mobile,2.41,0,0
35,29598,6,0,desktop,1.74,2,0
45,51052,1,0,mobile,3.48,3,0
34,58480,2,0,desktop,1.91,3,1
49,77513,3,1,desktop,2.84,1,0
16,62379,4,0,mobile,3.24,1,0
29,52159,3,0,mobile,3.24,1,0
44,55899,1,1,desktop,2.75,1,0
33,59910,2,1,desktop,2.46,1,0
44,49315,6,0,desktop,1.71,3,1
38,65233,6,1,mobile,2.48,0,0
44,79376,2,1,desktop,2.68,0,0
41,49552,0,0,desktop,3.01,4,1
41,73112,1,0,mobile,2.35,1,0
49,68144,2,1,desktop,4.31,3,0
44,63058,1,0,desktop,2.34,0,0
44,56678,4,0,mobile,3.67,4,1
35,60066,1,0,desktop,5.05,0,1
29,51739,3,0,desktop,4.31,0,0
28,82553,3,0,mobile,3.23,2,0
42,44223,2,1,desktop,2.22,1,0
10,72024,1,1,mobile,3.83,3,1
21,78245,4,1,mobile,1.45,2,0
25,50152,7,1,tablet,1.67,0,0
32,72487,2,0,desktop,2.89,1,0
8,57159,3,0,mobile,2.81,1,0
47,55935,2,0,mobile,2.72,0,0
41,53881,6,0,mobile,3.47,0,0
54,30794,2,1,mobile,2.05,1,0
45,63218,2,0,desktop,3.92,0,0
45,76653,2,1,mobile,3.2,1,0
57,44429,4,0,desktop,1.99,2,1
29,67710,3,0,mobile,3.73,1,1
19,53721,6,0,desktop,3.56,0,0
32,38609,1,0,mobile,2.84,2,1
26,69968,2,0,tablet,1.37,0,0
32,80290,4,1,tablet,1.06,0,0
24,43086,1,0,mobile,2.54,0,1
40,58237,3,1,desktop,1.17,1,0
40,33403,3,0,mobile,4.06,0,0
34,54369,1,0,desktop,4.66,2,1
38,62290,3,1,mobile,1.75,1,0
33,81293,5,1,desktop,4.25,3,1
42,78363,3,1,tablet,2.79,1,1
35,79637,2,1,mobile,2.43,0,1
32,47093,4,0,mobile,3.83,0,0
44,51322,2,0,mobile,3.35,3,1
47,30035,1,0,tablet,2.07,1,0
48,44272,4,0,mobile,3.05,0,0
25,33222,0,0,mobile,3.33,1,0
29,60483,2,1,mobile,4.88,2,1
17,44545,2,0,mobile,3.08,1,0
32,38478,3,1,desktop,2.91,1,0
39,49668,4,1,mobile,3.4,0,1
33,37226,5,0,mobile,1.88,1,0
54,59635,2,0,mobile,3.24,1,0
30,59266,2,0,desktop,1.51,4,0
24,50264,4,1,mobile,4.88,2,1
40,44039,4,0,mobile,2.77,2,1
36,34908,5,0,mobile,2.46,0,0
40,63330,4,0,desktop,4.4,1,0
38,58430,4,1,desktop,1.74,3,1
37,61964,1,0,desktop,1.87,3,0
13,50403,5,0,tablet,2.32,0,0
27,51731,3,1,desktop,2.05,0,0
29,76629,5,0,mobile,4.17,0,0
31,45991,6,0,mobile,1.45,1,0
30,50310,3,0,mobile,2.93,0,0
39,66158,2,1,desktop,1.6,1,0
41,59543,2,0,tablet,1.06,3,0
23,24300,4,0,tablet,0.32,1,0
41,29681,5,1,tablet,3.58,2,1
40,45087,3,0,mobile,1.5,3,0
39,68654,3,1,desktop,1.89,2,0
20,65075,3,0,mobile,2.86,1,0
39,62792,4,0,mobile,3.25,0,0
35,64416,1,1,mobile,1.59,1,0
44,40465,0,0,desktop,3.06,0,0
52,64015,4,0,mobile,4.14,0,0
50,41180,5,0,desktop,2.76,0,0
36,69209,3,1,desktop,1.84,1,0
34,47341,5,1,desktop,1.24,2,1
41,59224,1,1,desktop,2.65,2,0
23,26882,3,1,mobile,2.49,2,1
20,34766,1,1,mobile,3.4,2,1
30,71360,3,1,mobile,3.0,2,1
47,65376,4,0,mobile,1.94,3,1
31,36730,1,1,desktop,1.05,1,0
50,74283,3,1,mobile,1.1,1,0
7,38638,2,0,desktop,2.62,1,0
19,55299,3,0,tablet,2.45,1,0
33,47798,3,1,tablet,2.53,3,1
43,41148,5,1,mobile,1.91,1,0
34,72519,2,1,mobile,3.14,0,0
34,80274,1,0,mobile,3.0,1,0
33,57674,1,0,mobile,4.04,0,1
17,77889,3,1,desktop,2.74,3,1
46,50781,2,1,desktop,2.55,1,1
28,56624,1,1,mobile,2.94,1,0
45,56972,3,1,desktop,2.13,1,0
34,37649,4,0,desktop,3.41,0,0
45,62491,5,0,desktop,2.79,0,0
38,65645,1,1,desktop,2.88,0,0
33,52397,1,0,tablet,3.49,2,1
37,29623,1,0,mobile,4.17,1,1
20,60515,0,0,desktop,2.7,1,0
35,32274,5,0,desktop,2.18,0,0
52,42830,6,0,desktop,2.99,1,1
48,56971,3,0,desktop,1.92,1,0
25,43455,6,0,desktop,2.06,2,0
40,58805,2,0,mobile,4.19,2,0
37,51606,4,0,desktop,2.35,0,0
43,30542,3,1,mobile,1.47,0,0
35,57519,0,0,desktop,2.16,0,0
32,63798,2,0,desktop,1.84,1,0
48,70186,2,0,mobile,2.13,3,0
37,49501,3,0,mobile,0.84,0,0
47,54077,6,1,mobile,2.31,2,1
44,32573,2,0,desktop,1.88,2,0
31,84473,4,0,mobile,3.73,0,0
33,77575,4,1,mobile,3.52,0,1
54,54522,3,0,mobile,1.97,5,0
36,53127,5,0,desktop,1.01,0,0
27,11046,3,0,desktop,1.83,1,0
22,70528,1,0,desktop,3.42,4,1
44,63442,4,1,desktop,2.35,1,0
36,67192,2,0,desktop,1.24,0,0
27,48921,5,0,desktop,2.51,0,0
41,47958,1,0,desktop,3.53,2,1
36,36468,1,0,desktop,2.15,0,0
18,66670,8,1,desktop,1.96,2,0
40,73782,2,1,mobile,1.84,2,0
48,71858,1,0,desktop,2.19,0,0
60,57808,1,0,mobile,2.69,1,0
35,50100,4,0,mobile,3.81,0,0
37,39220,6,0,desktop,2.74,2,1
51,44473,4,0,tablet,3.31,1,1
36,62013,4,1,desktop,2.76,0,1
37,50731,5,0,desktop,1.57,1,0
28,79621,4,0,mobile,3.85,2,0
21,72285,5,0,mobile,1.62,2,0
44,45972,4,0,desktop,1.89,0,0
22,36765,3,0,mobile,3.18,1,1
46,46773,9,0,mobile,2.93,1,1
27,70980,4,0,mobile,1.46,1,0
37,47141,1,1,desktop,1.18,2,0
31,63189,0,0,desktop,3.43,0,1
46,46511,4,0,mobile,3.52,3,1
38,60147,1,0,tablet,2.61,1,1
54,62922,2,1,desktop,1.52,2,0
24,69787,4,0,desktop,2.51,4,0
39,76498,3,0,desktop,3.81,2,0
35,74653,2,0,desktop,2.82,2,1
37,47047,1,0,mobile,1.86,2,0
50,52794,4,0,tablet,3.29,1,0
40,37397,3,0,desktop,4.45,1,1
23,51464,3,1,tablet,4.63,0,1
40,55364,2,0,mobile,3.03,1,1
30,48940,3,1,mobile,2.45,0,0
30,47446,3,0,desktop,1.01,1,0
45,70481,2,1,tablet,1.76,1,0
28,68612,0,0,desktop,3.78,1,0
31,60986,0,0,tablet,3.28,3,1
35,35837,3,1,mobile,2.68,0,0
44,58013,1,0,mobile,1.67,2,0
40,49236,4,0,tablet,3.26,2,1
32,74735,2,1,mobile,3.11,2,1
32,27965,0,1,desktop,3.01,3,1
23,46617,6,1,desktop,1.74,0,0
27,46200,2,0,mobile,1.82,2,0
28,48001,1,0,tablet,1.2,1,0
33,69363,4,1,tablet,0.3,3,0
54,19714,5,1,tablet,1.97,4,1
28,51879,3,0,desktop,2.72,0,0
32,67760,7,0,mobile,2.03,1,0
14,69701,4,0,desktop,3.62,0,0
41,46763,2,0,desktop,1.21,2,0
19,44803,6,0,desktop,3.82,0,0
25,60193,6,0,desktop,3.34,0,0
45,57265,3,0,desktop,1.25,0,0
13,56041,6,1,mobile,5.08,0,1
35,-2020,1,0,tablet,2.27,0,0
43,38092,2,1,mobile,1.49,1,0
50,42051,2,0,mobile,1.54,0,0
25,64645,6,0,mobile,2.02,3,1
28,33388,4,1,desktop,2.14,0,0
53,39300,2,0,desktop,1.92,1,0
34,52684,2,1,desktop,2.79,2,1
27,35686,3,0,desktop,3.74,0,0
27,64642,4,1,desktop,1.83,2,0
25,49128,5,1,mobile,2.77,1,1
30,82493,4,1,tablet,3.58,0,0
45,45554,2,0,mobile,1.99,0,0
43,46355,3,1,desktop,1.8,2,1
23,67066,4,1,mobile,2.67,1,1
37,45169,3,0,mobile,-0.7,0,0
30,77673,8,0,desktop,2.43,1,0
42,62243,1,1,desktop,4.53,0,1
33,50441,4,0,tablet,2.06,2,0
38,52588,3,1,desktop,4.16,0,1
33,97760,3,0,desktop,2.91,3,0
13,62329,1,0,desktop,2.27,3,0
35,57257,7,0,desktop,2.73,1,0
22,53011,4,1,mobile,2.95,2,1
42,70557,1,0,desktop,1.87,2,0
28,32225,2,0,desktop,1.04,2,0
